Batch number: 1, L: 3, m: 2, W: 0.380677, wrst_PtsChecked 7721.000000, avg_PtsChecked 5663.226300, wrst_Dist 0.453976, avg_Dist 0.009655, wrst_RelativeDist 1.120007, avg_RelativeDist 1.003027, avg_rho 0.823800, tau 5663.282933, tau_other 0.005569, num_buckets 1188,ClusteringTime 0.110000,avg_SearchingTime 0.020016, wrst_SearchingTime 0.040000 
Batch number: 2, L: 3, m: 2, W: 0.380677, wrst_PtsChecked 16177.000000, avg_PtsChecked 12320.419900, wrst_Dist 0.340775, avg_Dist 0.008102, wrst_RelativeDist 1.109624, avg_RelativeDist 1.002470, avg_rho 0.850300, tau 6160.271553, tau_other 0.004174, num_buckets 1781,ClusteringTime 0.070000,avg_SearchingTime 0.040993, wrst_SearchingTime 0.080000 
Batch number: 3, L: 3, m: 2, W: 0.380677, wrst_PtsChecked 24885.000000, avg_PtsChecked 19397.504500, wrst_Dist 0.487131, avg_Dist 0.007072, wrst_RelativeDist 1.086020, avg_RelativeDist 1.002066, avg_rho 0.869900, tau 6465.899492, tau_other 0.003550, num_buckets 2272,ClusteringTime 0.070000,avg_SearchingTime 0.062310, wrst_SearchingTime 0.120000 
Batch number: 4, L: 3, m: 2, W: 0.380677, wrst_PtsChecked 33637.000000, avg_PtsChecked 26572.771700, wrst_Dist 0.414679, avg_Dist 0.006776, wrst_RelativeDist 1.096912, avg_RelativeDist 1.002009, avg_rho 0.874600, tau 6643.259358, tau_other 0.003152, num_buckets 2690,ClusteringTime 0.080000,avg_SearchingTime 0.083563, wrst_SearchingTime 0.140000 
Batch number: 5, L: 3, m: 2, W: 0.380677, wrst_PtsChecked 42530.000000, avg_PtsChecked 34267.324600, wrst_Dist 0.333119, avg_Dist 0.005918, wrst_RelativeDist 1.075791, avg_RelativeDist 1.001705, avg_rho 0.889100, tau 6853.533455, tau_other 0.002878, num_buckets 3070,ClusteringTime 0.080000,avg_SearchingTime 0.105874, wrst_SearchingTime 0.190000 
Batch number: 6, L: 3, m: 2, W: 0.380677, wrst_PtsChecked 51427.000000, avg_PtsChecked 41551.891100, wrst_Dist 0.304881, avg_Dist 0.005794, wrst_RelativeDist 1.090734, avg_RelativeDist 1.001678, avg_rho 0.891300, tau 6925.384437, tau_other 0.002643, num_buckets 3383,ClusteringTime 0.090000,avg_SearchingTime 0.127190, wrst_SearchingTime 0.220000 
Batch number: 7, L: 3, m: 2, W: 0.380677, wrst_PtsChecked 60355.000000, avg_PtsChecked 49069.490400, wrst_Dist 0.485123, avg_Dist 0.005542, wrst_RelativeDist 1.095009, avg_RelativeDist 1.001561, avg_rho 0.895100, tau 7009.997300, tau_other 0.002482, num_buckets 3707,ClusteringTime 0.090000,avg_SearchingTime 0.148268, wrst_SearchingTime 0.210000 
Batch number: 8, L: 3, m: 2, W: 0.380677, wrst_PtsChecked 69288.000000, avg_PtsChecked 56909.815000, wrst_Dist 0.411832, avg_Dist 0.004928, wrst_RelativeDist 1.100684, avg_RelativeDist 1.001418, avg_rho 0.906200, tau 7113.798013, tau_other 0.002340, num_buckets 3993,ClusteringTime 0.090000,avg_SearchingTime 0.171231, wrst_SearchingTime 0.290000 
Batch number: 9, L: 3, m: 2, W: 0.380677, wrst_PtsChecked 78321.000000, avg_PtsChecked 64620.766900, wrst_Dist 0.301375, avg_Dist 0.004972, wrst_RelativeDist 1.081470, avg_RelativeDist 1.001401, avg_rho 0.906600, tau 7180.157013, tau_other 0.002222, num_buckets 4266,ClusteringTime 0.090000,avg_SearchingTime 0.191950, wrst_SearchingTime 0.330000 
Batch number: 10, L: 3, m: 2, W: 0.380677, wrst_PtsChecked 87324.000000, avg_PtsChecked 72229.556400, wrst_Dist 0.414688, avg_Dist 0.004822, wrst_RelativeDist 1.091217, avg_RelativeDist 1.001346, avg_rho 0.908000, tau 7223.027870, tau_other 0.002123, num_buckets 4530,ClusteringTime 0.140000,avg_SearchingTime 0.213853, wrst_SearchingTime 0.360000 
Batch number: 11, L: 3, m: 2, W: 0.380677, wrst_PtsChecked 96411.000000, avg_PtsChecked 80458.791700, wrst_Dist 0.357353, avg_Dist 0.004464, wrst_RelativeDist 1.080813, avg_RelativeDist 1.001226, avg_rho 0.916600, tau 7314.508754, tau_other 0.002046, num_buckets 4801,ClusteringTime 0.090000,avg_SearchingTime 0.236440, wrst_SearchingTime 0.400000 
