Batch number: 1, L: 3, m: 3, W: 1525.566474, wrst_PtsChecked 690.000000, avg_PtsChecked 552.361600, wrst_Dist 2.262725, avg_Dist 0.003750, wrst_RelativeDist 2.035218, avg_RelativeDist 1.001012, avg_rho 0.991800, tau 552.367124, tau_other 0.001254, num_buckets 39,ClusteringTime 0.050000,avg_SearchingTime 0.001707, wrst_SearchingTime 0.010000 
Batch number: 2, L: 3, m: 3, W: 1525.566474, wrst_PtsChecked 2069.000000, avg_PtsChecked 1572.047300, wrst_Dist 1.314949, avg_Dist 0.001605, wrst_RelativeDist 1.418712, avg_RelativeDist 1.000414, avg_rho 0.995800, tau 786.031510, tau_other 0.000643, num_buckets 40,ClusteringTime 0.010000,avg_SearchingTime 0.003455, wrst_SearchingTime 0.010000 
Batch number: 3, L: 3, m: 3, W: 1525.566474, wrst_PtsChecked 3104.000000, avg_PtsChecked 2286.833700, wrst_Dist 0.971560, avg_Dist 0.001344, wrst_RelativeDist 1.320863, avg_RelativeDist 1.000390, avg_rho 0.995700, tau 762.285523, tau_other 0.000439, num_buckets 41,ClusteringTime 0.010000,avg_SearchingTime 0.005260, wrst_SearchingTime 0.020000 
Batch number: 4, L: 3, m: 3, W: 1525.566474, wrst_PtsChecked 4139.000000, avg_PtsChecked 3046.457500, wrst_Dist 1.073229, avg_Dist 0.001314, wrst_RelativeDist 1.311085, avg_RelativeDist 1.000345, avg_rho 0.996000, tau 761.621991, tau_other 0.000329, num_buckets 41,ClusteringTime 0.010000,avg_SearchingTime 0.006970, wrst_SearchingTime 0.020000 
Batch number: 5, L: 3, m: 3, W: 1525.566474, wrst_PtsChecked 5174.000000, avg_PtsChecked 3808.972800, wrst_Dist 2.106232, avg_Dist 0.001433, wrst_RelativeDist 1.605619, avg_RelativeDist 1.000404, avg_rho 0.996100, tau 761.802178, tau_other 0.000270, num_buckets 42,ClusteringTime 0.010000,avg_SearchingTime 0.008893, wrst_SearchingTime 0.020000 
Batch number: 6, L: 3, m: 3, W: 1525.566474, wrst_PtsChecked 6207.000000, avg_PtsChecked 4568.279300, wrst_Dist 1.038226, avg_Dist 0.001035, wrst_RelativeDist 1.291942, avg_RelativeDist 1.000292, avg_rho 0.996600, tau 761.387497, tau_other 0.000225, num_buckets 42,ClusteringTime 0.020000,avg_SearchingTime 0.010501, wrst_SearchingTime 0.020000 
Batch number: 7, L: 3, m: 3, W: 1525.566474, wrst_PtsChecked 7242.000000, avg_PtsChecked 5327.396300, wrst_Dist 0.849205, avg_Dist 0.000708, wrst_RelativeDist 1.219856, avg_RelativeDist 1.000195, avg_rho 0.996500, tau 761.064225, tau_other 0.000193, num_buckets 42,ClusteringTime 0.020000,avg_SearchingTime 0.012134, wrst_SearchingTime 0.020000 
Batch number: 8, L: 3, m: 3, W: 1525.566474, wrst_PtsChecked 8276.000000, avg_PtsChecked 6086.933500, wrst_Dist 1.068398, avg_Dist 0.000830, wrst_RelativeDist 1.303721, avg_RelativeDist 1.000228, avg_rho 0.997500, tau 760.874296, tau_other 0.000169, num_buckets 42,ClusteringTime 0.020000,avg_SearchingTime 0.014308, wrst_SearchingTime 0.020000 
Batch number: 9, L: 3, m: 3, W: 1525.566474, wrst_PtsChecked 9311.000000, avg_PtsChecked 6848.046700, wrst_Dist 1.105551, avg_Dist 0.000962, wrst_RelativeDist 1.310662, avg_RelativeDist 1.000279, avg_rho 0.997000, tau 760.901687, tau_other 0.000150, num_buckets 42,ClusteringTime 0.010000,avg_SearchingTime 0.016086, wrst_SearchingTime 0.030000 
Batch number: 10, L: 3, m: 3, W: 1525.566474, wrst_PtsChecked 10346.000000, avg_PtsChecked 7606.988300, wrst_Dist 0.950847, avg_Dist 0.000901, wrst_RelativeDist 1.324952, avg_RelativeDist 1.000264, avg_rho 0.996400, tau 760.706437, tau_other 0.000135, num_buckets 42,ClusteringTime 0.020000,avg_SearchingTime 0.017517, wrst_SearchingTime 0.030000 
Batch number: 11, L: 3, m: 3, W: 1525.566474, wrst_PtsChecked 11380.000000, avg_PtsChecked 8367.295200, wrst_Dist 0.977546, avg_Dist 0.001324, wrst_RelativeDist 1.375704, avg_RelativeDist 1.000368, avg_rho 0.996100, tau 760.670807, tau_other 0.000123, num_buckets 42,ClusteringTime 0.020000,avg_SearchingTime 0.019223, wrst_SearchingTime 0.030000 
Batch number: 12, L: 3, m: 3, W: 1525.566474, wrst_PtsChecked 12415.000000, avg_PtsChecked 9127.715600, wrst_Dist 1.030876, avg_Dist 0.000867, wrst_RelativeDist 1.347191, avg_RelativeDist 1.000274, avg_rho 0.997300, tau 760.650573, tau_other 0.000113, num_buckets 42,ClusteringTime 0.010000,avg_SearchingTime 0.021012, wrst_SearchingTime 0.030000 
Batch number: 13, L: 3, m: 3, W: 1525.566474, wrst_PtsChecked 13450.000000, avg_PtsChecked 9884.494200, wrst_Dist 1.270121, avg_Dist 0.001004, wrst_RelativeDist 1.408679, avg_RelativeDist 1.000312, avg_rho 0.996600, tau 760.353311, tau_other 0.000104, num_buckets 42,ClusteringTime 0.020000,avg_SearchingTime 0.022330, wrst_SearchingTime 0.030000 
Batch number: 14, L: 3, m: 3, W: 1525.566474, wrst_PtsChecked 14484.000000, avg_PtsChecked 10647.293400, wrst_Dist 0.655267, avg_Dist 0.000587, wrst_RelativeDist 1.189282, avg_RelativeDist 1.000175, avg_rho 0.997300, tau 760.528562, tau_other 0.000096, num_buckets 42,ClusteringTime 0.020000,avg_SearchingTime 0.024498, wrst_SearchingTime 0.040000 
Batch number: 15, L: 3, m: 3, W: 1525.566474, wrst_PtsChecked 15518.000000, avg_PtsChecked 11228.505800, wrst_Dist 0.767700, avg_Dist 0.000582, wrst_RelativeDist 1.238459, avg_RelativeDist 1.000181, avg_rho 0.997600, tau 748.574539, tau_other 0.000092, num_buckets 43,ClusteringTime 0.020000,avg_SearchingTime 0.026732, wrst_SearchingTime 0.040000 
Batch number: 16, L: 3, m: 3, W: 1525.566474, wrst_PtsChecked 16553.000000, avg_PtsChecked 11976.248000, wrst_Dist 1.161677, avg_Dist 0.000833, wrst_RelativeDist 1.442111, avg_RelativeDist 1.000245, avg_rho 0.997500, tau 748.522985, tau_other 0.000086, num_buckets 43,ClusteringTime 0.020000,avg_SearchingTime 0.027987, wrst_SearchingTime 0.040000 
Batch number: 17, L: 3, m: 3, W: 1525.566474, wrst_PtsChecked 17587.000000, avg_PtsChecked 12719.881800, wrst_Dist 0.873415, avg_Dist 0.000650, wrst_RelativeDist 1.263399, avg_RelativeDist 1.000190, avg_rho 0.997300, tau 748.235824, tau_other 0.000081, num_buckets 43,ClusteringTime 0.010000,avg_SearchingTime 0.029178, wrst_SearchingTime 0.040000 
Batch number: 18, L: 3, m: 3, W: 1525.566474, wrst_PtsChecked 18622.000000, avg_PtsChecked 13467.302700, wrst_Dist 1406.856251, avg_Dist 0.141525, wrst_RelativeDist 334.059124, avg_RelativeDist 1.033566, avg_rho 0.997000, tau 748.190965, tau_other 0.000077, num_buckets 43,ClusteringTime 0.020000,avg_SearchingTime 0.034980, wrst_SearchingTime 0.070000 
Batch number: 19, L: 3, m: 3, W: 1525.566474, wrst_PtsChecked 19656.000000, avg_PtsChecked 13766.574400, wrst_Dist 0.801441, avg_Dist 0.000845, wrst_RelativeDist 1.286053, avg_RelativeDist 1.000263, avg_rho 0.996500, tau 724.563793, tau_other 0.000074, num_buckets 44,ClusteringTime 0.010000,avg_SearchingTime 0.035153, wrst_SearchingTime 0.070000 
Batch number: 20, L: 3, m: 3, W: 1525.566474, wrst_PtsChecked 20691.000000, avg_PtsChecked 14491.915300, wrst_Dist 0.682816, avg_Dist 0.000635, wrst_RelativeDist 1.247926, avg_RelativeDist 1.000187, avg_rho 0.997400, tau 724.603011, tau_other 0.000071, num_buckets 44,ClusteringTime 0.030000,avg_SearchingTime 0.039036, wrst_SearchingTime 0.070000 
Batch number: 21, L: 3, m: 3, W: 1525.566474, wrst_PtsChecked 21725.000000, avg_PtsChecked 15217.624000, wrst_Dist 1.018748, avg_Dist 0.000752, wrst_RelativeDist 1.449157, avg_RelativeDist 1.000261, avg_rho 0.997200, tau 724.656008, tau_other 0.000067, num_buckets 44,ClusteringTime 0.020000,avg_SearchingTime 0.040750, wrst_SearchingTime 0.050000 
Batch number: 22, L: 3, m: 3, W: 1525.566474, wrst_PtsChecked 22760.000000, avg_PtsChecked 15941.196700, wrst_Dist 0.811260, avg_Dist 0.000844, wrst_RelativeDist 1.206499, avg_RelativeDist 1.000252, avg_rho 0.996900, tau 724.607096, tau_other 0.000064, num_buckets 44,ClusteringTime 0.020000,avg_SearchingTime 0.042790, wrst_SearchingTime 0.090000 
Batch number: 23, L: 3, m: 3, W: 1525.566474, wrst_PtsChecked 23794.000000, avg_PtsChecked 16660.890500, wrst_Dist 1.056644, avg_Dist 0.000823, wrst_RelativeDist 1.421072, avg_RelativeDist 1.000262, avg_rho 0.997200, tau 724.393787, tau_other 0.000061, num_buckets 44,ClusteringTime 0.030000,avg_SearchingTime 0.044675, wrst_SearchingTime 0.060000 
Batch number: 24, L: 3, m: 3, W: 1525.566474, wrst_PtsChecked 24829.000000, avg_PtsChecked 17386.787800, wrst_Dist 1.250862, avg_Dist 0.000982, wrst_RelativeDist 1.306127, avg_RelativeDist 1.000297, avg_rho 0.996300, tau 724.456736, tau_other 0.000059, num_buckets 44,ClusteringTime 0.010000,avg_SearchingTime 0.046475, wrst_SearchingTime 0.060000 
Batch number: 25, L: 3, m: 3, W: 1525.566474, wrst_PtsChecked 25863.000000, avg_PtsChecked 18113.131900, wrst_Dist 1.502311, avg_Dist 0.000872, wrst_RelativeDist 1.867476, avg_RelativeDist 1.000311, avg_rho 0.997100, tau 724.532521, tau_other 0.000057, num_buckets 44,ClusteringTime 0.020000,avg_SearchingTime 0.048470, wrst_SearchingTime 0.060000 
Batch number: 26, L: 3, m: 3, W: 1525.566474, wrst_PtsChecked 26898.000000, avg_PtsChecked 18827.347700, wrst_Dist 0.953621, avg_Dist 0.000895, wrst_RelativeDist 1.269767, avg_RelativeDist 1.000278, avg_rho 0.996400, tau 724.135999, tau_other 0.000054, num_buckets 44,ClusteringTime 0.010000,avg_SearchingTime 0.050477, wrst_SearchingTime 0.070000 
Batch number: 27, L: 3, m: 3, W: 1525.566474, wrst_PtsChecked 27932.000000, avg_PtsChecked 19555.791400, wrst_Dist 1.212859, avg_Dist 0.000909, wrst_RelativeDist 1.551058, avg_RelativeDist 1.000299, avg_rho 0.996700, tau 724.295813, tau_other 0.000052, num_buckets 44,ClusteringTime 0.020000,avg_SearchingTime 0.051719, wrst_SearchingTime 0.090000 
Batch number: 28, L: 3, m: 3, W: 1525.566474, wrst_PtsChecked 28967.000000, avg_PtsChecked 20280.058500, wrst_Dist 1.330504, avg_Dist 0.000621, wrst_RelativeDist 1.637840, avg_RelativeDist 1.000226, avg_rho 0.997600, tau 724.295047, tau_other 0.000051, num_buckets 44,ClusteringTime 0.030000,avg_SearchingTime 0.054365, wrst_SearchingTime 0.070000 
Batch number: 29, L: 3, m: 3, W: 1525.566474, wrst_PtsChecked 30001.000000, avg_PtsChecked 21004.462900, wrst_Dist 0.573571, avg_Dist 0.000591, wrst_RelativeDist 1.190599, avg_RelativeDist 1.000182, avg_rho 0.997400, tau 724.299067, tau_other 0.000049, num_buckets 44,ClusteringTime 0.010000,avg_SearchingTime 0.054442, wrst_SearchingTime 0.070000 
Batch number: 30, L: 3, m: 3, W: 1525.566474, wrst_PtsChecked 31036.000000, avg_PtsChecked 21733.935600, wrst_Dist 0.571799, avg_Dist 0.000767, wrst_RelativeDist 1.265063, avg_RelativeDist 1.000265, avg_rho 0.997500, tau 724.471765, tau_other 0.000047, num_buckets 44,ClusteringTime 0.020000,avg_SearchingTime 0.056706, wrst_SearchingTime 0.070000 
Batch number: 31, L: 3, m: 3, W: 1525.566474, wrst_PtsChecked 32070.000000, avg_PtsChecked 22464.752600, wrst_Dist 0.751683, avg_Dist 0.000636, wrst_RelativeDist 1.246056, avg_RelativeDist 1.000205, avg_rho 0.997200, tau 724.676685, tau_other 0.000046, num_buckets 44,ClusteringTime 0.020000,avg_SearchingTime 0.058655, wrst_SearchingTime 0.070000 
Batch number: 32, L: 3, m: 3, W: 1525.566474, wrst_PtsChecked 33105.000000, avg_PtsChecked 23183.397400, wrst_Dist 0.781130, avg_Dist 0.000690, wrst_RelativeDist 1.248982, avg_RelativeDist 1.000208, avg_rho 0.997300, tau 724.488414, tau_other 0.000044, num_buckets 44,ClusteringTime 0.010000,avg_SearchingTime 0.060594, wrst_SearchingTime 0.080000 
Batch number: 33, L: 3, m: 3, W: 1525.566474, wrst_PtsChecked 34139.000000, avg_PtsChecked 23904.818000, wrst_Dist 0.853506, avg_Dist 0.000639, wrst_RelativeDist 1.294138, avg_RelativeDist 1.000200, avg_rho 0.997200, tau 724.395668, tau_other 0.000043, num_buckets 44,ClusteringTime 0.010000,avg_SearchingTime 0.062541, wrst_SearchingTime 0.080000 
Batch number: 34, L: 3, m: 3, W: 1525.566474, wrst_PtsChecked 35174.000000, avg_PtsChecked 24629.835900, wrst_Dist 1.184579, avg_Dist 0.000671, wrst_RelativeDist 1.330124, avg_RelativeDist 1.000201, avg_rho 0.997400, tau 724.414182, tau_other 0.000042, num_buckets 44,ClusteringTime 0.020000,avg_SearchingTime 0.064525, wrst_SearchingTime 0.080000 
Batch number: 35, L: 3, m: 3, W: 1525.566474, wrst_PtsChecked 36208.000000, avg_PtsChecked 25356.838800, wrst_Dist 0.789265, avg_Dist 0.000703, wrst_RelativeDist 1.244352, avg_RelativeDist 1.000222, avg_rho 0.997500, tau 724.488353, tau_other 0.000040, num_buckets 44,ClusteringTime 0.020000,avg_SearchingTime 0.066448, wrst_SearchingTime 0.080000 
Batch number: 36, L: 3, m: 3, W: 1525.566474, wrst_PtsChecked 37243.000000, avg_PtsChecked 26075.031500, wrst_Dist 0.921433, avg_Dist 0.000574, wrst_RelativeDist 1.274819, avg_RelativeDist 1.000187, avg_rho 0.997800, tau 724.313674, tau_other 0.000039, num_buckets 44,ClusteringTime 0.020000,avg_SearchingTime 0.068395, wrst_SearchingTime 0.080000 
Batch number: 37, L: 3, m: 3, W: 1525.566474, wrst_PtsChecked 38277.000000, avg_PtsChecked 26805.450900, wrst_Dist 1.073285, avg_Dist 0.000624, wrst_RelativeDist 1.383321, avg_RelativeDist 1.000194, avg_rho 0.997200, tau 724.478891, tau_other 0.000038, num_buckets 44,ClusteringTime 0.020000,avg_SearchingTime 0.070326, wrst_SearchingTime 0.080000 
Batch number: 38, L: 3, m: 3, W: 1525.566474, wrst_PtsChecked 39311.000000, avg_PtsChecked 27530.755400, wrst_Dist 1.242588, avg_Dist 0.000843, wrst_RelativeDist 1.401888, avg_RelativeDist 1.000280, avg_rho 0.997400, tau 724.500808, tau_other 0.000037, num_buckets 44,ClusteringTime 0.010000,avg_SearchingTime 0.072278, wrst_SearchingTime 0.080000 
