Batch number: 1, L: 3, m: 2, W: 0.180290, wrst_PtsChecked 7494.000000, avg_PtsChecked 1222.609600, wrst_Dist 0.031789, avg_Dist 0.000063, wrst_RelativeDist 2.929876, avg_RelativeDist 1.002260, avg_rho 0.993300, tau 1222.621826, tau_other 0.000575, num_buckets 23,ClusteringTime 0.040000,avg_SearchingTime 0.001759, wrst_SearchingTime 0.020000 
Batch number: 2, L: 3, m: 2, W: 0.180290, wrst_PtsChecked 9315.000000, avg_PtsChecked 8818.236100, wrst_Dist 0.004271, avg_Dist 0.000000, wrst_RelativeDist 1.128152, avg_RelativeDist 1.000013, avg_rho 0.999900, tau 4409.162142, tau_other 0.000288, num_buckets 23,ClusteringTime 0.010000,avg_SearchingTime 0.004419, wrst_SearchingTime 0.020000 
Batch number: 3, L: 3, m: 2, W: 0.180290, wrst_PtsChecked 19150.000000, avg_PtsChecked 11478.956500, wrst_Dist 0.132242, avg_Dist 0.000445, wrst_RelativeDist 6.899658, avg_RelativeDist 1.007257, avg_rho 0.981500, tau 3826.357097, tau_other 0.000192, num_buckets 23,ClusteringTime 0.010000,avg_SearchingTime 0.006416, wrst_SearchingTime 0.020000 
Batch number: 4, L: 3, m: 2, W: 0.180290, wrst_PtsChecked 28123.000000, avg_PtsChecked 26536.234100, wrst_Dist 0.004998, avg_Dist 0.000000, wrst_RelativeDist 1.261071, avg_RelativeDist 1.000026, avg_rho 0.999900, tau 6634.124866, tau_other 0.000163, num_buckets 26,ClusteringTime 0.010000,avg_SearchingTime 0.010178, wrst_SearchingTime 0.030000 
Batch number: 5, L: 3, m: 2, W: 0.180290, wrst_PtsChecked 38100.000000, avg_PtsChecked 15987.773100, wrst_Dist 0.446375, avg_Dist 0.169904, wrst_RelativeDist 2.436282, avg_RelativeDist 1.072755, avg_rho 0.512800, tau 3197.586596, tau_other 0.000130, num_buckets 26,ClusteringTime 0.010000,avg_SearchingTime 0.010313, wrst_SearchingTime 0.030000 
Batch number: 6, L: 3, m: 2, W: 0.180290, wrst_PtsChecked 4329.000000, avg_PtsChecked 4180.835600, wrst_Dist 0.000000, avg_Dist 0.000000, wrst_RelativeDist 1.000000, avg_RelativeDist 1.000000, avg_rho 1.000000, tau 696.812901, tau_other 0.000138, num_buckets 33,ClusteringTime 0.010000,avg_SearchingTime 0.009985, wrst_SearchingTime 0.020000 
Batch number: 7, L: 3, m: 2, W: 0.180290, wrst_PtsChecked 13818.000000, avg_PtsChecked 13189.526700, wrst_Dist 0.000000, avg_Dist 0.000000, wrst_RelativeDist 1.000000, avg_RelativeDist 1.000000, avg_rho 1.000000, tau 1884.236942, tau_other 0.000118, num_buckets 33,ClusteringTime 0.020000,avg_SearchingTime 0.012781, wrst_SearchingTime 0.050000 
Batch number: 8, L: 3, m: 2, W: 0.180290, wrst_PtsChecked 23011.000000, avg_PtsChecked 22422.756400, wrst_Dist 0.000000, avg_Dist 0.000000, wrst_RelativeDist 1.000000, avg_RelativeDist 1.000000, avg_rho 1.000000, tau 2802.872579, tau_other 0.000103, num_buckets 33,ClusteringTime 0.010000,avg_SearchingTime 0.016035, wrst_SearchingTime 0.050000 
Batch number: 9, L: 3, m: 2, W: 0.180290, wrst_PtsChecked 32402.000000, avg_PtsChecked 31824.108800, wrst_Dist 0.000000, avg_Dist 0.000000, wrst_RelativeDist 1.000000, avg_RelativeDist 1.000000, avg_rho 1.000000, tau 3536.047449, tau_other 0.000092, num_buckets 33,ClusteringTime 0.020000,avg_SearchingTime 0.018982, wrst_SearchingTime 0.050000 
Batch number: 10, L: 3, m: 2, W: 0.180290, wrst_PtsChecked 42215.000000, avg_PtsChecked 41342.434400, wrst_Dist 0.000000, avg_Dist 0.000000, wrst_RelativeDist 1.000000, avg_RelativeDist 1.000000, avg_rho 1.000000, tau 4134.284783, tau_other 0.000083, num_buckets 33,ClusteringTime 0.010000,avg_SearchingTime 0.022146, wrst_SearchingTime 0.050000 
Batch number: 11, L: 3, m: 2, W: 0.180290, wrst_PtsChecked 52060.000000, avg_PtsChecked 25903.648100, wrst_Dist 1.994841, avg_Dist 0.037977, wrst_RelativeDist 1.784843, avg_RelativeDist 1.036928, avg_rho 0.563700, tau 2354.900649, tau_other 0.000075, num_buckets 33,ClusteringTime 0.010000,avg_SearchingTime 0.021305, wrst_SearchingTime 0.050000 
Batch number: 12, L: 3, m: 2, W: 0.180290, wrst_PtsChecked 27089.000000, avg_PtsChecked 984.742900, wrst_Dist 0.321213, avg_Dist 0.003593, wrst_RelativeDist 4.607035, avg_RelativeDist 1.022869, avg_rho 0.946700, tau 82.062729, tau_other 0.001338, num_buckets 642,ClusteringTime 0.020000,avg_SearchingTime 0.020659, wrst_SearchingTime 0.050000 
Batch number: 13, L: 3, m: 2, W: 0.180290, wrst_PtsChecked 48688.000000, avg_PtsChecked 4411.165500, wrst_Dist 0.142866, avg_Dist 0.000233, wrst_RelativeDist 3.400379, avg_RelativeDist 1.002374, avg_rho 0.995700, tau 339.323816, tau_other 0.001979, num_buckets 1029,ClusteringTime 0.040000,avg_SearchingTime 0.025280, wrst_SearchingTime 0.050000 
Batch number: 14, L: 3, m: 2, W: 0.180290, wrst_PtsChecked 51935.000000, avg_PtsChecked 6071.461200, wrst_Dist 0.204495, avg_Dist 0.000253, wrst_RelativeDist 5.016192, avg_RelativeDist 1.002656, avg_rho 0.994900, tau 433.680137, tau_other 0.001977, num_buckets 1107,ClusteringTime 0.040000,avg_SearchingTime 0.028042, wrst_SearchingTime 0.060000 
Batch number: 15, L: 3, m: 2, W: 0.180290, wrst_PtsChecked 60891.000000, avg_PtsChecked 7225.035400, wrst_Dist 0.097844, avg_Dist 0.000128, wrst_RelativeDist 4.056938, avg_RelativeDist 1.001563, avg_rho 0.997100, tau 481.673843, tau_other 0.002015, num_buckets 1209,ClusteringTime 0.050000,avg_SearchingTime 0.030325, wrst_SearchingTime 0.070000 
Batch number: 16, L: 3, m: 2, W: 0.180290, wrst_PtsChecked 121634.000000, avg_PtsChecked 26369.784800, wrst_Dist 0.256927, avg_Dist 0.001727, wrst_RelativeDist 2.718306, avg_RelativeDist 1.003342, avg_rho 0.904100, tau 1648.128031, tau_other 0.001977, num_buckets 1265,ClusteringTime 0.040000,avg_SearchingTime 0.035315, wrst_SearchingTime 0.090000 
Batch number: 17, L: 3, m: 2, W: 0.180290, wrst_PtsChecked 60988.000000, avg_PtsChecked 7015.618300, wrst_Dist 0.520346, avg_Dist 0.004939, wrst_RelativeDist 7.572246, avg_RelativeDist 1.024676, avg_rho 0.923400, tau 412.687556, tau_other 0.003103, num_buckets 2110,ClusteringTime 0.110000,avg_SearchingTime 0.042311, wrst_SearchingTime 0.090000 
