Batch number: 1, L: 3, m: 3, W: 2.727554, wrst_PtsChecked 6229.000000, avg_PtsChecked 3438.045800, wrst_Dist 1.536548, avg_Dist 0.013462, wrst_RelativeDist 1.814733, avg_RelativeDist -nan, avg_rho 0.936500, tau 3438.080181, tau_other 0.014773, num_buckets 476,ClusteringTime 0.060000,avg_SearchingTime 0.003440, wrst_SearchingTime 0.010000 
Batch number: 2, L: 3, m: 3, W: 2.727554, wrst_PtsChecked 13419.000000, avg_PtsChecked 7580.764800, wrst_Dist 1.062203, avg_Dist 0.006956, wrst_RelativeDist 1.299389, avg_RelativeDist 1.002407, avg_rho 0.961700, tau 3790.420304, tau_other 0.009559, num_buckets 616,ClusteringTime 0.020000,avg_SearchingTime 0.006514, wrst_SearchingTime 0.010000 
Batch number: 3, L: 3, m: 3, W: 2.727554, wrst_PtsChecked 20683.000000, avg_PtsChecked 12062.865600, wrst_Dist 0.871344, avg_Dist 0.004996, wrst_RelativeDist 1.330105, avg_RelativeDist -nan, avg_rho 0.969700, tau 4020.995410, tau_other 0.007438, num_buckets 719,ClusteringTime 0.030000,avg_SearchingTime 0.009607, wrst_SearchingTime 0.020000 
Batch number: 4, L: 3, m: 3, W: 2.727554, wrst_PtsChecked 28617.000000, avg_PtsChecked 16731.376000, wrst_Dist 1.355454, avg_Dist 0.004359, wrst_RelativeDist 1.410801, avg_RelativeDist -nan, avg_rho 0.976300, tau 4182.885829, tau_other 0.006129, num_buckets 790,ClusteringTime 0.030000,avg_SearchingTime 0.012618, wrst_SearchingTime 0.030000 
Batch number: 5, L: 3, m: 3, W: 2.727554, wrst_PtsChecked 35806.000000, avg_PtsChecked 21574.945500, wrst_Dist 1.115412, avg_Dist 0.002758, wrst_RelativeDist 1.318305, avg_RelativeDist -nan, avg_rho 0.983100, tau 4315.032250, tau_other 0.005344, num_buckets 861,ClusteringTime 0.030000,avg_SearchingTime 0.015682, wrst_SearchingTime 0.020000 
Batch number: 6, L: 3, m: 3, W: 2.727554, wrst_PtsChecked 43523.000000, avg_PtsChecked 26156.304300, wrst_Dist 1.116528, avg_Dist 0.003161, wrst_RelativeDist 1.564273, avg_RelativeDist -nan, avg_rho 0.982100, tau 4359.427644, tau_other 0.004722, num_buckets 913,ClusteringTime 0.030000,avg_SearchingTime 0.017271, wrst_SearchingTime 0.030000 
Batch number: 7, L: 3, m: 3, W: 2.727554, wrst_PtsChecked 51557.000000, avg_PtsChecked 31252.242800, wrst_Dist 1.008361, avg_Dist 0.001883, wrst_RelativeDist 1.277282, avg_RelativeDist -nan, avg_rho 0.988200, tau 4464.650761, tau_other 0.004296, num_buckets 969,ClusteringTime 0.030000,avg_SearchingTime 0.021892, wrst_SearchingTime 0.050000 
Batch number: 8, L: 3, m: 3, W: 2.727554, wrst_PtsChecked 59209.000000, avg_PtsChecked 36013.188400, wrst_Dist 1.116471, avg_Dist 0.001821, wrst_RelativeDist 1.429680, avg_RelativeDist -nan, avg_rho 0.987900, tau 4501.693567, tau_other 0.003914, num_buckets 1009,ClusteringTime 0.030000,avg_SearchingTime 0.024766, wrst_SearchingTime 0.040000 
Batch number: 9, L: 3, m: 3, W: 2.727554, wrst_PtsChecked 68205.000000, avg_PtsChecked 41190.460600, wrst_Dist 0.857447, avg_Dist 0.001690, wrst_RelativeDist 1.290979, avg_RelativeDist -nan, avg_rho 0.989900, tau 4576.763612, tau_other 0.003648, num_buckets 1058,ClusteringTime 0.030000,avg_SearchingTime 0.027397, wrst_SearchingTime 0.050000 
Batch number: 10, L: 3, m: 3, W: 2.727554, wrst_PtsChecked 75165.000000, avg_PtsChecked 46079.244500, wrst_Dist 1.345944, avg_Dist 0.001618, wrst_RelativeDist 1.208785, avg_RelativeDist -nan, avg_rho 0.989500, tau 4607.970530, tau_other 0.003392, num_buckets 1093,ClusteringTime 0.020000,avg_SearchingTime 0.030230, wrst_SearchingTime 0.060000 
Batch number: 11, L: 3, m: 3, W: 2.727554, wrst_PtsChecked 83019.000000, avg_PtsChecked 51618.970800, wrst_Dist 2.315004, avg_Dist 0.001735, wrst_RelativeDist 1.368090, avg_RelativeDist -nan, avg_rho 0.990100, tau 4692.680636, tau_other 0.003197, num_buckets 1133,ClusteringTime 0.020000,avg_SearchingTime 0.034694, wrst_SearchingTime 0.050000 
