Batch number: 1, L: 3, m: 3, W: 2.245238, wrst_PtsChecked 7285.000000, avg_PtsChecked 4500.261600, wrst_Dist 2.711754, avg_Dist 0.005572, wrst_RelativeDist 5.714586, avg_RelativeDist 1.004037, avg_rho 0.988800, tau 4500.306603, tau_other 0.025425, num_buckets 452,ClusteringTime 0.044354,avg_SearchingTime 0.002015, wrst_SearchingTime 0.002934 
Batch number: 2, L: 3, m: 3, W: 2.245238, wrst_PtsChecked 15046.000000, avg_PtsChecked 8786.808100, wrst_Dist 3.242028, avg_Dist 0.007827, wrst_RelativeDist 6.926420, avg_RelativeDist 1.004940, avg_rho 0.984700, tau 4393.447984, tau_other 0.018141, num_buckets 645,ClusteringTime 0.018754,avg_SearchingTime 0.003997, wrst_SearchingTime 0.006175 
Batch number: 3, L: 3, m: 3, W: 2.245238, wrst_PtsChecked 22900.000000, avg_PtsChecked 15203.038800, wrst_Dist 17.304697, avg_Dist 0.006690, wrst_RelativeDist 18.896834, avg_RelativeDist 1.005316, avg_rho 0.993800, tau 5067.730277, tau_other 0.018338, num_buckets 978,ClusteringTime 0.025594,avg_SearchingTime 0.007227, wrst_SearchingTime 0.009644 
Batch number: 4, L: 3, m: 3, W: 2.245238, wrst_PtsChecked 30911.000000, avg_PtsChecked 21071.249600, wrst_Dist 1.630112, avg_Dist 0.001410, wrst_RelativeDist 2.301784, avg_RelativeDist 1.001028, avg_rho 0.997100, tau 5267.865079, tau_other 0.015947, num_buckets 1134,ClusteringTime 0.020302,avg_SearchingTime 0.009985, wrst_SearchingTime 0.012599 
Batch number: 5, L: 3, m: 3, W: 2.245238, wrst_PtsChecked 39326.000000, avg_PtsChecked 26144.742900, wrst_Dist 8.336703, avg_Dist 0.002114, wrst_RelativeDist 4.436286, avg_RelativeDist 1.001275, avg_rho 0.997100, tau 5229.000870, tau_other 0.013646, num_buckets 1213,ClusteringTime 0.018773,avg_SearchingTime 0.012463, wrst_SearchingTime 0.015355 
Batch number: 6, L: 3, m: 3, W: 2.245238, wrst_PtsChecked 47362.000000, avg_PtsChecked 31009.784300, wrst_Dist 1.985383, avg_Dist 0.001136, wrst_RelativeDist 3.959960, avg_RelativeDist 1.001164, avg_rho 0.997800, tau 5168.349067, tau_other 0.012150, num_buckets 1296,ClusteringTime 0.020785,avg_SearchingTime 0.015105, wrst_SearchingTime 0.018216 
Batch number: 7, L: 3, m: 3, W: 2.245238, wrst_PtsChecked 55040.000000, avg_PtsChecked 35702.568900, wrst_Dist 1.473849, avg_Dist 0.000761, wrst_RelativeDist 2.779885, avg_RelativeDist 1.000618, avg_rho 0.998000, tau 5100.417990, tau_other 0.011033, num_buckets 1373,ClusteringTime 0.022553,avg_SearchingTime 0.017906, wrst_SearchingTime 0.021494 
Batch number: 8, L: 3, m: 3, W: 2.245238, wrst_PtsChecked 63095.000000, avg_PtsChecked 40819.319200, wrst_Dist 23.993350, avg_Dist 0.003414, wrst_RelativeDist 4.774904, avg_RelativeDist 1.001209, avg_rho 0.998100, tau 5102.465925, tau_other 0.010139, num_buckets 1442,ClusteringTime 0.024189,avg_SearchingTime 0.020962, wrst_SearchingTime 0.024841 
Batch number: 9, L: 3, m: 3, W: 2.245238, wrst_PtsChecked 70586.000000, avg_PtsChecked 46000.869600, wrst_Dist 2.371857, avg_Dist 0.001266, wrst_RelativeDist 1.888026, avg_RelativeDist 1.000771, avg_rho 0.997600, tau 5111.258846, tau_other 0.009431, num_buckets 1509,ClusteringTime 0.026312,avg_SearchingTime 0.023918, wrst_SearchingTime 0.027845 
Batch number: 10, L: 3, m: 3, W: 2.245238, wrst_PtsChecked 79024.000000, avg_PtsChecked 51355.580300, wrst_Dist 3.989829, avg_Dist 0.001410, wrst_RelativeDist 6.111305, avg_RelativeDist 1.001138, avg_rho 0.997300, tau 5135.609386, tau_other 0.008983, num_buckets 1597,ClusteringTime 0.026198,avg_SearchingTime 0.026814, wrst_SearchingTime 0.031215 
Batch number: 11, L: 3, m: 3, W: 2.245238, wrst_PtsChecked 86203.000000, avg_PtsChecked 59863.712800, wrst_Dist 5.196865, avg_Dist 0.002366, wrst_RelativeDist 2.380385, avg_RelativeDist 1.001465, avg_rho 0.996200, tau 5442.210131, tau_other 0.008652, num_buckets 1692,ClusteringTime 0.028379,avg_SearchingTime 0.030370, wrst_SearchingTime 0.034437 
Batch number: 12, L: 3, m: 3, W: 2.245238, wrst_PtsChecked 94921.000000, avg_PtsChecked 60858.079300, wrst_Dist 85.806324, avg_Dist 0.009554, wrst_RelativeDist 2.492291, avg_RelativeDist 1.000603, avg_rho 0.998300, tau 5071.557324, tau_other 0.008419, num_buckets 1796,ClusteringTime 0.028989,avg_SearchingTime 0.032789, wrst_SearchingTime 0.038369 
Batch number: 13, L: 3, m: 3, W: 2.245238, wrst_PtsChecked 102354.000000, avg_PtsChecked 65947.342000, wrst_Dist 53.818454, avg_Dist 0.006125, wrst_RelativeDist 14.980732, avg_RelativeDist 1.002202, avg_rho 0.997900, tau 5072.923191, tau_other 0.008087, num_buckets 1869,ClusteringTime 0.029890,avg_SearchingTime 0.035522, wrst_SearchingTime 0.041555 
Batch number: 14, L: 3, m: 3, W: 2.245238, wrst_PtsChecked 110137.000000, avg_PtsChecked 69101.330500, wrst_Dist 4.606778, avg_Dist 0.001818, wrst_RelativeDist 4.045198, avg_RelativeDist 1.001092, avg_rho 0.998100, tau 4935.858680, tau_other 0.007775, num_buckets 1935,ClusteringTime 0.029330,avg_SearchingTime 0.037949, wrst_SearchingTime 0.044536 
Batch number: 15, L: 3, m: 3, W: 2.245238, wrst_PtsChecked 118086.000000, avg_PtsChecked 73035.601100, wrst_Dist 5.054992, avg_Dist 0.002193, wrst_RelativeDist 6.349902, avg_RelativeDist 1.001500, avg_rho 0.997400, tau 4869.088764, tau_other 0.007538, num_buckets 2010,ClusteringTime 0.032994,avg_SearchingTime 0.040616, wrst_SearchingTime 0.048127 
Batch number: 16, L: 3, m: 3, W: 2.245238, wrst_PtsChecked 124760.000000, avg_PtsChecked 80298.831600, wrst_Dist 3.953229, avg_Dist 0.003044, wrst_RelativeDist 4.255266, avg_RelativeDist 1.001918, avg_rho 0.996300, tau 5018.727162, tau_other 0.007446, num_buckets 2118,ClusteringTime 0.035006,avg_SearchingTime 0.044283, wrst_SearchingTime 0.051387 
Batch number: 17, L: 3, m: 3, W: 2.245238, wrst_PtsChecked 132306.000000, avg_PtsChecked 94693.951700, wrst_Dist 3.806427, avg_Dist 0.001599, wrst_RelativeDist 35.755141, avg_RelativeDist 1.004559, avg_rho 0.997500, tau 5570.288156, tau_other 0.007468, num_buckets 2257,ClusteringTime 0.047131,avg_SearchingTime 0.049784, wrst_SearchingTime 0.056223 
Batch number: 18, L: 3, m: 3, W: 2.245238, wrst_PtsChecked 141674.000000, avg_PtsChecked 107428.699200, wrst_Dist 6.102297, avg_Dist 0.001308, wrst_RelativeDist 2.318412, avg_RelativeDist -nan, avg_rho 0.998400, tau 5968.320750, tau_other 0.007288, num_buckets 2332,ClusteringTime 0.034908,avg_SearchingTime 0.053891, wrst_SearchingTime 0.059594 
Batch number: 19, L: 3, m: 3, W: 2.245238, wrst_PtsChecked 150791.000000, avg_PtsChecked 116895.217800, wrst_Dist 0.780328, avg_Dist 0.000303, wrst_RelativeDist 1.495858, avg_RelativeDist 1.000133, avg_rho 0.999200, tau 6152.441409, tau_other 0.007014, num_buckets 2369,ClusteringTime 0.026738,avg_SearchingTime 0.056864, wrst_SearchingTime 0.062835 
Batch number: 20, L: 3, m: 3, W: 2.245238, wrst_PtsChecked 160157.000000, avg_PtsChecked 124938.469200, wrst_Dist 2.655830, avg_Dist 0.000778, wrst_RelativeDist 1.984777, avg_RelativeDist -nan, avg_rho 0.999300, tau 6246.985930, tau_other 0.006722, num_buckets 2390,ClusteringTime 0.023066,avg_SearchingTime 0.059296, wrst_SearchingTime 0.065354 
Batch number: 21, L: 3, m: 3, W: 2.245238, wrst_PtsChecked 170147.000000, avg_PtsChecked 130694.783600, wrst_Dist 6.411727, avg_Dist 0.001499, wrst_RelativeDist 3.258229, avg_RelativeDist 1.000790, avg_rho 0.999100, tau 6223.623360, tau_other 0.006485, num_buckets 2421,ClusteringTime 0.024736,avg_SearchingTime 0.061597, wrst_SearchingTime 0.068181 
Batch number: 22, L: 3, m: 3, W: 2.245238, wrst_PtsChecked 177432.000000, avg_PtsChecked 138284.907900, wrst_Dist 1.138859, avg_Dist 0.000250, wrst_RelativeDist 2.561427, avg_RelativeDist 1.000324, avg_rho 0.999700, tau 6285.740489, tau_other 0.006280, num_buckets 2456,ClusteringTime 0.026705,avg_SearchingTime 0.064164, wrst_SearchingTime 0.071852 
Batch number: 23, L: 3, m: 3, W: 2.245238, wrst_PtsChecked 187555.000000, avg_PtsChecked 145404.242100, wrst_Dist 2.654262, avg_Dist 0.000766, wrst_RelativeDist 2.327818, avg_RelativeDist 1.000475, avg_rho 0.998700, tau 6321.986789, tau_other 0.006085, num_buckets 2488,ClusteringTime 0.024479,avg_SearchingTime 0.066705, wrst_SearchingTime 0.073844 
Batch number: 24, L: 3, m: 3, W: 2.245238, wrst_PtsChecked 196215.000000, avg_PtsChecked 153925.877600, wrst_Dist 0.036136, avg_Dist 0.000004, wrst_RelativeDist 1.026873, avg_RelativeDist 1.000004, avg_rho 0.999800, tau 6413.642370, tau_other 0.005902, num_buckets 2518,ClusteringTime 0.026219,avg_SearchingTime 0.069339, wrst_SearchingTime 0.076529 
Batch number: 25, L: 3, m: 3, W: 2.245238, wrst_PtsChecked 204922.000000, avg_PtsChecked 158923.240000, wrst_Dist 0.873432, avg_Dist 0.000415, wrst_RelativeDist 2.446912, avg_RelativeDist 1.000458, avg_rho 0.999100, tau 6356.993170, tau_other 0.005706, num_buckets 2536,ClusteringTime 0.025252,avg_SearchingTime 0.070898, wrst_SearchingTime 0.079234 
Batch number: 26, L: 3, m: 3, W: 2.245238, wrst_PtsChecked 216141.000000, avg_PtsChecked 166025.495900, wrst_Dist 1.552036, avg_Dist 0.000372, wrst_RelativeDist 1.835662, avg_RelativeDist 1.000236, avg_rho 0.999100, tau 6385.659853, tau_other 0.005584, num_buckets 2581,ClusteringTime 0.030441,avg_SearchingTime 0.073391, wrst_SearchingTime 0.084349 
Batch number: 27, L: 3, m: 3, W: 2.245238, wrst_PtsChecked 223352.000000, avg_PtsChecked 172966.839800, wrst_Dist 1.898576, avg_Dist 0.001096, wrst_RelativeDist 4.607913, avg_RelativeDist 1.000955, avg_rho 0.998500, tau 6406.243314, tau_other 0.005454, num_buckets 2618,ClusteringTime 0.031305,avg_SearchingTime 0.076092, wrst_SearchingTime 0.085780 
